Entity,Code,GDP,Life_expectancy,BCG,HepB3,Hib3,IPV1,MCV1,PCV3,Pol3,RCV1,RotaC,YFV,DTP3
Albania,ALB,12531.788,79.3,99,99,99,99,95,96,99,95,0,0,99
Algeria,DZA,11787.492,76.5,99,91,91,94,80,91,91,80,0,0,91
Angola,AGO,7159.579,62.4,69,53,53,43,51,53,56,51,58,45,57
Antigua and Barbuda,ATG,16514.492,78.7,0,99,99,98,93,0,95,93,0,0,95
Argentina,ARG,21826.838,77.3,85,83,83,85,86,80,83,86,77,8,83
Armenia,ARM,14735.138,75.4,99,92,92,92,95,92,94,95,92,0,92
Australia,AUS,54147.008,83.1,0,95,95,98,94,96,95,94,92,0,95
Austria,AUT,53344.508,81.9,0,85,85,92,95,0,85,95,61,0,85
Azerbaijan,AZE,15858.924,73.1,96,94,94,95,98,95,96,98,0,0,94
Bahamas,BHS,33088.543,71.2,0,89,89,91,83,89,89,83,78,0,89
Bahrain,BHR,46964.977,80,0,99,99,99,99,97,99,99,99,0,99
Bangladesh,BGD,4658.01,72.8,99,98,98,92,97,99,98,97,0,0,98
Barbados,BRB,12217.291,77.3,0,90,90,94,92,93,91,92,0,0,90
Belarus,BLR,21665.938,74.2,97,97,91,98,98,0,98,98,0,0,98
Belgium,BEL,44839.68,81.8,0,97,97,99,96,94,98,96,84,0,97
Belize,BLZ,5602.4204,73.9,95,98,98,99,96,0,98,96,0,0,98
Benin,BEN,3245.0645,60.5,88,76,76,76,68,73,75,68,0,71,76
Bhutan,BTN,11778.3955,71.4,92,97,97,96,97,26,97,97,0,0,97
Bolivia,BOL,8584.631,67.8,80,75,75,81,79,75,75,79,78,77,75
Bosnia and Herzegovina,BIH,13795.342,77.2,95,80,62,89,68,0,73,68,0,0,73
Botswana,BWA,16484.375,65.5,98,95,95,95,97,92,96,97,86,0,95
Brazil,BRA,14593.961,75.3,79,72,72,86,91,84,85,91,83,60,70
Brunei,BRN,73249.19,74.7,99,99,99,99,97,0,99,97,0,0,99
Bulgaria,BGR,21347.125,75.1,96,93,92,96,95,88,93,95,39,0,93
Burkina Faso,BFA,2120.1392,60,98,91,91,91,88,91,91,88,91,85,91
Burundi,BDI,790.046,62.4,93,93,93,92,92,93,93,92,95,0,93
Cambodia,KHM,4500.0527,70.7,98,92,92,92,84,89,94,84,0,0,92
Cameroon,CMR,3651.4968,61.6,80,67,67,67,60,67,68,60,65,56,67
Canada,CAN,49884.055,82.4,0,84,92,94,90,84,92,90,84,0,91
Cape Verde,CPV,7271.0767,76,98,97,97,96,98,0,97,98,0,0,96
Central African Republic,CAF,978.34937,55,61,42,42,44,41,40,46,0,0,41,42
Chad,TCD,1615.0825,53.3,51,50,50,49,41,0,47,0,0,35,50
Chile,CHL,23252.557,80.3,98,96,96,99,95,95,96,95,0,0,96
China,CHN,14128.812,78,99,99,0,99,99,0,99,99,0,0,99
Colombia,COL,14057.756,76.8,90,92,92,95,95,93,94,95,95,90,94
Comoros,COM,3208.8936,64.1,94,91,91,85,90,0,88,0,0,0,91
Congo,COG,4657.116,62.7,80,79,79,77,73,68,78,62,71,71,79
Costa Rica,CRI,18522.178,79.4,99,97,96,96,95,95,96,95,59,0,95
Cote d'Ivoire,CIV,5035.349,59.3,97,81,81,79,73,74,80,73,60,70,81
Croatia,HRV,26001.002,78.7,98,93,94,98,93,0,94,93,0,0,94
Cyprus,CYP,32301.82,81.4,0,94,92,99,86,81,96,86,0,0,96
Czechia,CZE,37521.227,79.2,0,97,97,99,92,0,97,92,0,0,97
Democratic Republic of Congo,COD,1021.6937,60.3,84,73,73,76,65,72,74,0,4,65,73
Denmark,DNK,54027.15,81.4,0,0,97,97,96,97,97,96,0,0,97
Djibouti,DJI,6132.4233,63.1,95,85,85,85,83,85,85,0,88,0,85
Dominica,DMA,10327.737,73.6,98,99,99,99,92,0,99,92,0,0,99
Dominican Republic,DOM,17926.738,73.6,99,87,79,95,96,67,92,96,80,0,89
Ecuador,ECU,11235.628,77.3,86,85,85,85,83,83,85,83,85,84,85
Egypt,EGY,12059.8955,71.4,96,95,95,96,95,0,95,95,0,0,95
El Salvador,SLV,8116.269,72.6,78,81,81,81,82,82,81,82,82,0,81
Equatorial Guinea,GNQ,24712.76,61.6,85,53,53,53,53,0,55,0,0,53,53
Estonia,EST,33852.387,78.7,92,91,91,92,88,0,91,88,81,0,91
Eswatini,SWZ,7827.8228,60.5,98,90,90,89,81,87,89,81,87,0,90
Ethiopia,ETH,2720.7412,65.8,69,68,68,68,58,64,71,0,68,0,68
Fiji,FJI,13753.734,67.9,99,99,99,99,96,99,99,96,99,0,99
Finland,FIN,44928.516,81.9,0,0,91,98,96,89,91,96,83,0,91
France,FRA,43755.062,82.7,0,91,95,99,92,92,96,92,0,0,96
Gabon,GAB,15492.227,66.6,92,70,70,70,62,0,70,0,0,61,70
Gambia,GMB,2408.8591,63.8,88,88,88,88,85,87,88,85,90,87,88
Georgia,GEO,17055.666,73.5,96,94,94,99,99,84,94,99,81,0,94
Germany,DEU,51190.89,81.6,0,88,90,98,97,82,91,97,65,0,91
Ghana,GHA,5363.2695,64.7,96,97,97,97,92,97,97,92,93,92,97
Greece,GRC,27201.492,81.2,0,96,99,99,97,96,99,97,20,0,99
Grenada,GRD,15374.282,74.9,0,94,94,97,94,0,94,94,0,0,92
Guatemala,GTM,7769.828,73.1,86,85,85,90,90,88,73,90,86,0,85
Guinea,GIN,2286.8052,59.7,73,47,47,47,47,0,48,0,0,40,47
Guinea-Bissau,GNB,1850.2985,60.9,84,78,78,77,79,78,60,0,81,79,78
Guyana,GUY,13010.421,69.1,99,99,99,99,98,98,97,98,99,94,99
Haiti,HTI,1554.0212,64.3,73,51,51,75,65,42,51,65,48,0,51
Honduras,HND,5428.0635,72.9,87,88,88,89,89,88,88,89,89,0,88
Hungary,HUN,29236.4,76.5,99,0,99,99,99,99,99,99,0,0,99
Iceland,ISL,53011.742,82.4,0,0,93,95,93,92,93,93,0,0,92
India,IND,6711.385,70.9,92,91,91,82,95,15,90,95,53,0,91
Indonesia,IDN,11595.102,70.5,90,85,85,76,88,3,85,88,0,0,85
Iran,IRN,13240.924,76.1,99,99,99,99,99,0,99,99,0,0,99
Iraq,IRQ,11920.252,71.6,98,84,84,93,82,37,85,86,5,0,84
Ireland,IRL,102622.45,82.3,0,93,94,98,91,86,94,91,89,0,94
Israel,ISR,38562.625,82.8,0,96,98,99,99,95,98,99,80,0,98
